shopId,shopName,shopLatitude,shopLongitude,SDAddress,SDCategory,SDConsumption,SDTelephone,SDRate,SDDeliciousRate,SDServiceRate,SDEnvRate,SDRateCount,SDWatchCount,SDBookmarkCount,shopUrl
1008082,六眷村麻辣鴛鴦鍋,24.747203214440002,121.74266571376998,宜蘭縣宜蘭市宜中路81號,麻辣火鍋,NULL,None,0,0,0,0,2,4810,8,http://www.ipeen.com.tw/shop/1008082
623668,豐收川堂,24.74583111475,121.78656700038,宜蘭縣壯圍鄉壯五路143-1號,四川菜,139,039-383-277,0,0,0,0,3,6345,5,http://www.ipeen.com.tw/shop/623668
1028130,史丹利家車輪餅,24.75743121824,121.75278260265,宜蘭縣宜蘭市中山路三段96號,其他小吃,NULL,None,0,0,0,0,1,7274,14,http://www.ipeen.com.tw/shop/1028130
49293,四姐的店,24.675069019920002,121.76378701659999,宜蘭縣羅東鎮純精路二段36號,食補藥膳餐廳,70,03-954-6370,0,0,0,0,2,12203,7,http://www.ipeen.com.tw/shop/49293
958792,瓏山林冷熱全度假飯店餐廳,24.596615103650002,121.84722460721001,宜蘭縣蘇澳鎮中原路301號2樓,其他美食,1000,03-996-6666,0,0,0,0,2,3062,7,http://www.ipeen.com.tw/shop/958792
976634,蘇澳港黑輪攤,24.59753931687,121.85229691644,宜蘭縣蘇澳鎮蘇東北路1-7號,其他小吃,236,0985-685-172,0,0,0,0,4,7575,4,http://www.ipeen.com.tw/shop/976634
1184855,喫堡,24.6733965,121.7593119,宜蘭縣羅東鎮中山路四段218號,複合式,NULL,None,45,15,15,15,1,1457,1,http://www.ipeen.com.tw/shop/1184855
1184672,一甲美,24.6743275,121.7709248,宜蘭縣羅東鎮中正路72號,複合式,250,03-956-6656,45,20,20,20,1,986,0,http://www.ipeen.com.tw/shop/1184672
580311,炭將無煙燒烤舖,24.75021800485,121.74437300251999,宜蘭縣宜蘭市民族里民族路395號,日式燒肉,300,03-933-0909,0,20,15,15,1,5549,10,http://www.ipeen.com.tw/shop/580311
159,豆腐呷活海鮮餐廳,24.595626839407736,121.85336626434892,宜蘭縣蘇澳鎮造船巷1號,海鮮餐廳,300,03-995-4419,0,0,0,0,3,9777,10,http://www.ipeen.com.tw/shop/159
24543,SOSO餐廳,24.68644200881,121.75231300124,宜蘭縣羅東鎮四維路156巷6號,美式料理,400,03-955-2990,0,0,0,0,1,31792,10,http://www.ipeen.com.tw/shop/24543
1023882,過嶺早點,24.76281501857,121.81562201745001,宜蘭縣壯圍鄉壯濱路三段401號,中式早餐,55,None,0,0,0,0,1,5261,10,http://www.ipeen.com.tw/shop/1023882
1061440,倫敦餐館,24.79339341112,121.76277450415,宜蘭縣礁溪鄉礁溪路一段322號,複合式,NULL,03-928-5332,0,0,0,0,1,3936,10,http://www.ipeen.com.tw/shop/1061440
1062082,貓咖飛,24.67781210074,121.75914170125,宜蘭縣羅東鎮光華街12-4號,複合式,NULL,03-951-0566,0,0,0,0,1,6573,10,http://www.ipeen.com.tw/shop/1062082
1072216,開始-器皿烘培室,24.76393720344,121.75742911888,宜蘭縣宜蘭市環河東路93號,咖啡專賣,NULL,03-931-2558,0,0,0,0,1,1627,10,http://www.ipeen.com.tw/shop/1072216
1079370,鬼匠拉麵-1號店,24.755252010699998,121.7562230149,宜蘭縣宜蘭市宜蘭市光復路38-1號,其他日式料理,99,None,0,0,0,0,2,11930,6,http://www.ipeen.com.tw/shop/1079370
